screen_name,name,text,retweet_count,location
Futbolero233,Futbolero23,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
_andreaquesada7,Andrea ⚽,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Móstoles, España"
Papotepless,ΜўěгsЇχαє∂ *Witcher 3 GOTY 2020*,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Islas Canarias, España"
95_lachy,Lachy Forever 95,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
NolNJ,N,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
Nadalchukwu,#GirlDad 13.20.100,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Estadio Santiago Bernabeu
Rafa_C_G_E,Rafa Gálvez Entrena,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Montefrío(Granada)
bogdannitescu1,bogdan.nitescu,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Bucharest, Romania"
GradaRMCFOfi,Real Madrid C.F.,"85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/8S3v9TJwol",0,España
aripov_sarvar,Real Madrid C.F.🇺🇿🇺🇿🇺🇿,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Uzbekistan 🇺🇿
Nachofita18,Sofi👑,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"S.Bernabéu, fondo sur."
RicaGalletiita,Galleta🍒,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
_SrTerrivel,Italo Silva (de 🏠),"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,BeaGalo
fdezj_jose88,💥Jose Fernández💥,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
vivisuribe,viviana uribe,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Bogotá 
LukaWoods_,8ª Thelmer 🏳️‍🌈⃤💥🐇👸🏾,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,República das Bananas
YaniraSiete2,🐺🦖🎅🏼🤶🏼🎄❄,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
guimsle,Guim's 🐝🦁,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Théding, Moselle"
AVALANCHA33,JAVIER DE LA CRUZ🇪🇸🇪🇸🇪🇸💚💚💚,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,ALCORCÓN (MADRID)
GloberTorpess,Mr. X ❔,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
manuel_jesus17,Manuel Jesús,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Benalup-Sevilla-Pavia
juvenal62garcia,Juvenal Garcia,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Allá donde me necesiten
Madrid_Bekasi,Peña Real Madrid de Indonesia Regional Bekasi,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Bekasi City, West Java"
Meeerlm,María,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
cacheestian,𝚊𝚕𝚎-𝚓𝚊𝚗𝚍𝚛𝚊 🇨🇴 𝙰𝙲𝙰𝙱,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Bucaramanga, Colombia"
Bmg_29,Bɛa ♥,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,~ Vɨռaʀòs tʀօssɛt ɖɛ ċɛʟ ~
gabifeal,GabiFM,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
halamadriwd,leticia,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,santiago bernabéu
mariadelmadrid2,Carmen Madridista2,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
maitermcf,andreza,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Brasil
JuanitoCruz11,Juanito,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Santa Cristina d'Aro (Girona)
AchrafRMCF,achraf souayah,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Sousse,Tunisia "
RicardoCRF1981,Ricardo Flamengo ᶜʳᶠ ʬ⁸⁴ ✵ ⎊,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Flamengo, Rio de Janeiro"
drewstyleslj,Ana,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Brasil
swiftxrm,natt,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
tomutual,annelise 🅴,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,isabela | rmcf—fcbm—crf | tht
roobxs,7 DIAS #ASFIVE ✋🏻,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,.brasil
bictris,Beatriz Aguilera,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Wentworth Correctional Centre
Paticarola,Patricia P.,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Sto Dgo, República Dominicana"
IlMioAngelo_24,ℛℯ℘ℯs 𝕷𝖎𝖌𝖍𝖙𝖜𝖔𝖔𝖉➰ミ☆,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
FutFemFantasy,FutFem Fantasy,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
Sara_NotLance,ミ☆ Santana_Villanelle🏳‍🌈,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Galicia, España"
Seddnv,Manu,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Spain
iEmanWm,EM,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
SirMultifandom,K/DA More,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,En mi casa desde 1995/04/12
_pauliiita,p ✨,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Almería, España"
artere01,🏴‍☠️,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Dans ton cul
putzdiana,Diana -,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
jms0s4,Juan Manuel,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
Mhannaa__,Omar Mhanna 💭,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,Kuwait 🇰🇼
lumma91,Luma 🌧🌿,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
lp1285_mb41,lp1285,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
DavidDomGonz,David,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Pontevedra, España"
Eeestheeer,Esther Walsh 💣,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Alicante, España"
titiburgos,Titi Burgos,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"San Salvador, El Salvador"
berocer,Bea. UnaDiNoi 󾓫,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Noia. Galicia. España
Chapman_248,《Chap》🦅🏳️‍🌈,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Juarez, Chih"
IvanMaroto07,Iván Maroto Montoro❄️⛄🎄🚬,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
NayelinNegrette,Naye NG,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"San Francisco de Macorís, Domi"
oscarseron,oscar lozano alvarez,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Vva de la Serena-Badajoz
ATargaryen_,Andrea.,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,HouseOfTheDragon
Sergio_RMCF07,Sergio7_RMCF⚽️,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Mislata, España"
realmadridfem,Real Madrid C.F.,"85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Ciudad Real Madrid
sanruesca,sandra  Ruiz,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,ESPAÑA
Harsh_gamer,Harsh Shrivastava,Real Madrid coach Zidane eager to see Ramos sign new contract: We want him here forever via @OneFootball. Read it h… https://t.co/S0OSjaNCiS,0,"Jabalpur, India"
shurouqadnan,شروق🌞,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,Kuwait | Jordan 
bemfot,bemfot,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,"Lagos, Nigeria"
stagweb,StagWeb,"Champions League winner and genuine world-class footballer #LuisFigo turns 48 today... 🇵🇹

... yet he is still reme… https://t.co/pmBMgVomrx",0,Bath / UK / Worldwide
TMuk_news,Transfermarkt.co.uk,"Sergio Ramos scored his 100th #RealMadrid goal last night.

Have a look at other high-scoring defenders and check o… https://t.co/0C973j3ava",0,
InterClubIndia,Inter Club India 🇮🇳,RT @footballitalia: Italian media have mixed feelings about coach Antonio Conte after #Inter’s 3-2 away defeat to #RealMadrid in #Champions…,1,India
ayooluwa___,Advocate for same energy,"RT @realmadriden: 👔🤝 President Florentino Pérez exchanged gifts with Javier Zanetti, @Inter_en deputy president ahead of the match.
#RealMa…",72,Anywhere you see me
jerryrince,Jerryrince,"RT @realmadriden: 👔🤝 President Florentino Pérez exchanged gifts with Javier Zanetti, @Inter_en deputy president ahead of the match.
#RealMa…",72,"Colorado, USA"
Hauwau_SB,Hauwa Kulu,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
DontCallMeZeZo,Ziad,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,Luxor
365Scores,365Scores,"Zinedine #Zidane addressed Sergio #Ramos’ contract status at #RealMadrid. 

#Real #Madrid #SR4 #LosBlancos #RM… https://t.co/zRBqKuUGfy",0,
__Ed10__,إيـاد العـرب.,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,
samanthaskidm10,Samanthabfc86❤voteformike💙,"RT @Odds_Watch: 🎂 Luis Figo turns 47 today

✅ Pigs head
✅ Whisky bottle
✅ Mobile phone
✅ Cigarette lighter
✅ Oranges

😲 These are just some…",1,"Royston, England"
Odds_Watch,Odds Watch,"🎂 Luis Figo turns 47 today

✅ Pigs head
✅ Whisky bottle
✅ Mobile phone
✅ Cigarette lighter
✅ Oranges

😲 These are j… https://t.co/2AdQWCV87v",1,
hyperstonextg,Hyperstone-,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,Indonesia
Atofaratti,#ENDSARS END BAD GOVERNANCE IN NIGERIA,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,The Bernabeu 
Anita_O,Anita,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,"Moscow, Russia"
TheMasterOmar1,COPPERSMITH,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,
senyojm,senyo,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
IamJojoBoss,Tybrain01,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,"Houston, TX / Atlanta"
anmolgupta31,anmol_gupta,"RT @FinnsMarks: No wonder the brands flock to them for endorsements

#finnsnmarks #fnm #wisdomwednesdays #footballfans #fc #realmadrid #fcb…",1,delhi(ncr)
SuchiaG,Suchia Garza⚡,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
EiFSoccer,EiF,"RT @ThatArabKeeper: 🧤✍️ Here's my latest for Between the Sticks!

Sergio Ramos has scored each of his last 25 penalties and 28 of his last…",6,
KIZANNE2,KIZ - ANNE,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
ghazijr98,G H A Z I,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,M A D R I D
jose_27_,📸@pursuitofmemories📸,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Madrid
Essam0177,Essam™,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,"Cairo, Egypt"
ManarSarhan,Manar M. Sarhan,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,Egypt
RMpIay_2,▶️ Real Madrid Play ³⁴ 🏆,"Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/uyL22HdAae",16,
Aaronwarriors,Aarón,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Madrid, España"
ama_anin,Ohemaa,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Ghana
RichSanchez11,Rich,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Santa Cruz County, CA"
lalitoespos7,▫▪Hector▫▪,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
rockersoul_7,Jairo,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
DiegoGrobaLoren,DGL,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,fuerteventura (Morro Jable)
germanjam,German Jimenez-Alfar,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
MadridCFyB,¡Hala Madrid!,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Santiago Bernabéu
lee_rko,Larissa 🌪️,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Brasil
caroldrealm,daniela,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
dr_egea,Æ,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
saik2809,sai krishna,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
EscalanteLeyvin,Leyvin Escalante,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
EdenRMFC,EdenRM,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Santiago Bernabéu, Madrid"
brianvanderbest,Brian Van Der Biest,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
HerodesonDervis,👨🏾‍⚕️🩺🤴🏾Rëÿsön Dervis,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Moun lakayanm💙
Mishoka,Valentin Bel,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Sofia, Bulgaria"
jdd66666,j.d.d.d.d.d.d.d.d.d,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
_mtwelve,ana,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
mtsety,3 pontos🦊💙,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Santa Teresa, Rio de Janeiro"
chanoval2000,sando,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,CDMX México 
homessssssssa,계란지단,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,R2ALMADR1D
rarecrf,thaiᶜʳᶠ🧞‍♀️,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,manu · nicole · gigi 
Annunakis7,Anunnakis7↯,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,👌
Nooee_mii,Noemí ♀🌹,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
